filename,Invoice No,Date,Total Amount,Vendor
Template5_Instance134.jpg,8648-102,18-Mar-04,916.18,Bailey Group
Template5_Instance133.jpg,INV63974312,13-Oct-95,825.37,Bailey Group
Template5_Instance129.jpg,INV/22-46/531,08-Jan-2000,573.73,Bailey Group
Template5_Instance126.jpg,2480-849,09-May-99,290.58,Bailey Group
Template5_Instance121.jpg,INV13393333,16-Jun-08,685.94,Bailey Group
Template5_Instance122.jpg,7466-779,01-Jan-2022,1021.38,Bailey Group
Template5_Instance123.jpg,INV/23-40/185,02-Nov-14,877.54,Bailey Group
Template5_Instance125.jpg,0261-996,30-Dec-2001,232.24,Bailey Group
Template5_Instance128.jpg,6Y9M90-097,15-Apr-07,424.62,Bailey Group
Template5_Instance131.jpg,INV21155179,09-Apr-95,612.80,Bailey Group
Template5_Instance130.jpg,2168-699,06-Jun-2000,686.08,Bailey Group
Template5_Instance132.jpg,9896-667,06-Jan-2019,378.19,Bailey Group
Template5_Instance13.jpg,IN6Y3M50-522,,Date: 25-Oct-16,Total Amount: 1097
Template5_Instance124.jpg,INV/45-91/920,17-Feb-01,568.28,Bailey Group
Template5_Instance127.jpg,6538-202,30-Nov-12,488.89,Bailey Group
Template5_Instance143.jpg,INV/70-02/655,24-Apr-95,718.38,Bailey Group
Template5_Instance150.jpg,ININV51084534,,Date: 19-Feb-93,Total: 674.82
Template5_Instance15.jpg,8446-658,15-Jan-22,716.83,Bailey Group
Template5_Instance14.jpg,1Y7M5d-832,28-Feb-00,202.06,Bailey Group
Template5_Instance139.jpg,3869-056,03-Mar-06,137.84,Bailey Group
Template5_Instance136.jpg,6063-882,26-Sep-09,468.08,Bailey Group
Template5_Instance144.jpg,ININV63072827,,Date: 18-Jan-97,Total Amount: 94.12
Template5_Instance149.jpg,3Y5M3d-707,02-Apr-2012,584.25,Bailey Group
Template5_Instance142.jpg,9061-163,13-Aug-2018,702.81,Bailey Group
Template5_Instance141.jpg,4Y1M2d-508,07-Apr-20,584.48,Bailey Group
Template5_Instance147.jpg,INV31854676,06-Jul-93,65.78,Bailey Group
Template5_Instance138.jpg,INVO1272742,28-May-07,1045.01,Bailey Group
Template5_Instance145.jpg,1927-937,05-Jul-2010,428.73,Bailey Group
Template5_Instance140.jpg,INV/52-401477,02-Jul-02,200.59,Bailey Group
Template5_Instance137.jpg,INV37345064,11-May-16,964.37,Bailey Group
Template5_Instance146.jpg,1Y2M14-847,02-Oct-15,930.23,Bailey Group
Template5_Instance148.jpg,INV/20-27-182,23-Jun-04,860.51,Bailey Group
Template5_Instance162.jpg,5Y3MSd-858,11-Sep-13,138.64,Bailey Group
Template5_Instance164.jpg,8698-237,13-May-1993,689.23,Bailey Group
Template5_Instance151.jpg,4084-032,21-Jun-96,406.44,Bailey Group
Template5_Instance153.jpg,INV/03-16/685,19-Jun-2012,812.13,Bailey Group
Template5_Instance155.jpg,9Y1M10-438,21-Feb-94,606.73,Bailey Group
Template5_Instance16.jpg,INV12210426,20-Mar-96,1597.52,Bailey Group
Template5_Instance165.jpg,INVI67-99/527,26-May-11,676.88,Bailey Group
Template5_Instance152.jpg,4291-900,02-Feb-02,644.12,Bailey Group
Template5_Instance158.jpg,INV/82-02/498,05-May-15,724.28,Bailey Group
Template5_Instance156.jpg,2520-262,13-Mar-07,437.83,Bailey Group
Template5_Instance163.jpg,4520-046,22-Apr-96,1638.46,Bailey Group
Template5_Instance154.jpg,INV29672678,26-No-94,359.63,Bailey Group
Template5_Instance160.jpg,2304-814,08-May-97,625.12,Bailey Group
Template5_Instance167.jpg,2056-271,25-Mar-97,1030.91,Bailey Group
Template5_Instance166.jpg,INV18476408,13-Jun-13,261.52,Bailey Group
Template5_Instance161.jpg,INV/65-09/745,17-Apr-18,721.23,Bailey Group
Template5_Instance157.jpg,INVI55-52/084,02-Aug-22,810.11,Bailey Group
Template5_Instance159.jpg,7568-279,28-Sep-98,199.47,Bailey Group
Template5_Instance174.jpg,IN1007-818,,Date: 01-Nov-97,Total DUE in 598.08
Template5_Instance179.jpg,INV-15-30/296,01-May-07,1041.29,Bailey Group
Template5_Instance168.jpg,INV40317268,31-Jul-02,1363.67,Bailey Group
Template5_Instance18.jpg,7032-838,20-Aug-2018,1220.74,Bailey Group
Template5_Instance180.jpg,3Y7M74-076,17-Nov-05,1610.42,Bailey Group
Template5_Instance181.jpg,IN7Y9M20-013D08-D-02,,Total Amount: 756.14,Vendor: Bailey Group
Template5_Instance17.jpg,4Y7M9d-814,07-Mar-99,577.38,Bailey Group
Template5_Instance169.jpg,INV/25-98/228,30-Sep-11,346.46,Bailey Group
Template5_Instance175.jpg,INV83522002,03-Jan-08,1203.25,Bailey Group
Template5_Instance176.jpg,INV66743746,08-Nov-15,515.15,Bailey Group
Template5_Instance182.jpg,9994-274,26-Oct-13,1244.45,Bailey Group
Template5_Instance177.jpg,INV85996808,16-Jun-96,834.36,Bailey Group
Template5_Instance172.jpg,9434-310,04-Sep-03,1266.64,Bailey Group
Template5_Instance170.jpg,1Y1M9d-452,12-Jan-98,76.95,Bailey Group
Template5_Instance171.jpg,INV33276270,30-Jun-18,848.89,Bailey Group
Template5_Instance173.jpg,INVI04-04/509,30-Dec-1993,69.07,Bailey Group
Template5_Instance178.jpg,1017-737,11-Nov-2022,1029.86,Bailey Group
Template5_Instance199.jpg,INVO5314713,18-Aug-13,1183.93,Bailey Group
Template5_Instance194.jpg,INV/97-41/597,05-Apr-08,417.70,Bailey Group
Template5_Instance188.jpg,INV/35-06/980,09-Feb-2019,1133.37,Bailey Group
Template5_Instance185.jpg,INV/19-90/000,18-Mar-03,196.45,Bailey Group
Template5_Instance197.jpg,INV/49-50/158,25-Sep-06,36.61,Bailey Group
Template5_Instance184.jpg,INV/69-48/655,16-Mar-93,501.58,Bailey Group
Template5_Instance186.jpg,IN0769-828,,Date: 19-Apr-05,Value: 491.71
Template5_Instance191.jpg,INV50822150,16-Jun-99,676.76,Bailey Group
Template5_Instance192.jpg,INV/38-79/123,06-Oct-18,870.62,Bailey Group
Template5_Instance193.jpg,0612-094,15-Sep-02,431.71,Bailey Group
Template5_Instance183.jpg,9Y6M3d-504,24-Nov-10,517.05,Bailey Group
Template5_Instance19.jpg,9Y8M2d-0579,13-Oct-2015,1617.48,Bailey Group
Template5_Instance195.jpg,INV33930017,18-May-02,402.97,Bailey Group
Template5_Instance190.jpg,7Y2M9d-356,17-May-19,1147.99,Bailey Group
Template5_Instance196.jpg,5Y1M64-936,05-Feb-12,1184.96,Bailey Group
Template5_Instance187.jpg,INV/56-61/529,20-Nov-2000,728.73,Bailey Group
Template5_Instance198.jpg,INV/62-19/697,21-May-05,1082.86,Bailey Group
Template5_Instance189.jpg,INV/24-23/230,23-Sep-2018,544.96,Bailey Group
Template5_Instance23.jpg,INV54974189,04-Aug-98,545.06,Bailey Group
Template5_Instance27.jpg,2213-844,08-Feb-07,1192.38,Bailey Group
Template5_Instance33.jpg,INV98001120,29-May-2014,757.50,Bailey Group
Template5_Instance36.jpg,6Y1M8d-103,29-May-2000,1084.15,Bailey Group
Template5_Instance25.jpg,INV/06-00/537,26-Aug-21,409.86,Bailey Group
Template5_Instance21.jpg,6832-035,23-Nov-08,71.48,Bailey Group
Template5_Instance3.jpg,8Y2M2d-282,19-Sep-2013,205.04,Bailey Group
Template5_Instance30.jpg,INV23687207,19-Apr-08,575.43,Bailey Group
Template5_Instance35.jpg,6Y5M4d-123,29-Nov-02,509.18,Bailey Group
Template5_Instance2.jpg,1Y9M4d-875,25-Feb-10,$14,Bailey Group
Template5_Instance32.jpg,INV/42-69/782,12-Feb-12,342.74,Bailey Group
Template5_Instance37.jpg,7821-407,07-Mar-02,780.38,Bailey Group
Template5_Instance31.jpg,3Y9M74-705,19-Jan-16,387.25,Bailey Group
Template5_Instance29.jpg,INV10703469,11-Mar-96,132.99,Bailey Group
Template5_Instance24.jpg,INV/52-27/207,: 30-Apr-02,398.76,Bailey Group
Template5_Instance26.jpg,INV82451216,23-Sep-2000,334.94,Bailey Group
Template5_Instance22.jpg,INV/48-46/977,09-Oct-02,383.13,Bailey Group
Template5_Instance20.jpg,INV85367382,11-May-09,190.52,Bailey Group
Template5_Instance28.jpg,3939-336,08-Oct-11,570.04,Bailey Group
Template5_Instance34.jpg,INV99045409,24-Oct-94,101.36,Bailey Group
Template5_Instance39.jpg,1YoM9d-365,04-Jan-06,797.36,Bailey Group
Template5_Instance4.jpg,INV70608057,13-Nov-09,605.13,Bailey Group
Template5_Instance43.jpg,0658-773,24-Sep-14,432.62,Bailey Group
Template5_Instance41.jpg,76M4d-923,06-Apr-13,475.18,Bailey Group
Template5_Instance47.jpg,INV69608617,18-May-2015,946.02,Bailey Group
Template5_Instance50.jpg,8433-888,25-Oct-2001,227.54,Bailey Group
Template5_Instance44.jpg,INV/56-60/971,05-Nov-05,720.32,Bailey Group
Template5_Instance53.jpg,1Y1M3d-451,08-Nov-13,208.80,Bailey Group
Template5_Instance38.jpg,INV7535077,04-Jun-06,1446.26,Bailey Group
Template5_Instance46.jpg,3943-348,09-Jan-97,779.79,Bailey Group
Template5_Instance48.jpg,6299-650,31-Aug-15,597.85,Bailey Group
Template5_Instance51.jpg,INV/99-88/084,13-Jun-18,111.56,Bailey Group
Template5_Instance49.jpg,INV/19-96/714,23-Oct-03,423.40,Bailey Group
Template5_Instance40.jpg,INV/70-97/220,11-May-2012,290.30,Bailey Group
Template5_Instance5.jpg,1Y8M3d-983,28-Sep-11,1155.59,Bailey Group
Template5_Instance42.jpg,INV/87-72/822,14-Oct-12,1166.19,Bailey Group
Template5_Instance45.jpg,INV/50-63/129,06-Apr-02,564.19,Bailey Group
Template5_Instance52.jpg,INV73768705,13-Mar-99,409.33,Bailey Group
Template5_Instance66.jpg,INV/38-30/289,02-Nov-2019,989.65,Bailey Group
Template5_Instance7.jpg,5Y9M7d-605,08-Oct-06,510.25,Bailey Group
Template5_Instance64.jpg,9Y6M8d-108,21-Jul-2018,580.92,Bailey Group
Template5_Instance71.jpg,INV/23-91/837,31-Oct-93,851.06,Bailey Group
Template5_Instance63.jpg,,,-Oct-94,Date: 30-Oct-94
Template5_Instance62.jpg,IN9739-899,,Total Amount: 988.78,Vendor: Bailey Group
Template5_Instance68.jpg,9128-313,09-Oct-01,786.25,Bailey Group
Template5_Instance57.jpg,8Y2M4d-107,25-Oct-07,692.33,Bailey Group
Template5_Instance69.jpg,6589-324,01-Feb-17,397.88,Bailey Group
Template5_Instance58.jpg,SYOM5-822,17-Aug-2002,393.69,Bailey Group
Template5_Instance56.jpg,7872-072,25-Aug-18,982.67,Bailey Group
Template5_Instance55.jpg,8Y2MSd-937,07-Aug-2010,577.79,Bailey Group
Template5_Instance60.jpg,8133-812,07-Aug-07,1037.71,Bailey Group
Template5_Instance70.jpg,INV85922949,08-Nov-98,1230.57,Bailey Group
Template5_Instance6.jpg,INV/39-57/710,01-Apr-08,199.91,Bailey Group
Template5_Instance67.jpg,INV/44-37/195,30-Jun-13,74.57,Bailey Group
Template5_Instance59.jpg,1434-910,07-Jun-03,373.94,Bailey Group
Template5_Instance61.jpg,INV/25-89/293,15-Oct-14,328.11,Bailey Group
Template5_Instance65.jpg,6Y6M6d-698,04-Sep-2018,357.11,Bailey Group
Template5_Instance54.jpg,9Y7M4d-520,20-Apr-18,358.19,Bailey Group
Template5_Instance82.jpg,INV19029445,13-Jul-10,342.15,Bailey Group
Template5_Instance84.jpg,24M5d-793,13-Jul-94,203.76,Bailey Group
Template5_Instance80.jpg,4Y3M8d-156,16-Mar-05,1044.47,Bailey Group
Template5_Instance86.jpg,0145-790,15-Jan-14,655.01,Bailey Group
Template5_Instance83.jpg,INVIO7-62/871,09-Dec-09,239.40,Bailey Group
Template5_Instance78.jpg,6Y9M34-405,24-Dec-2019,950.06,Bailey Group
Template5_Instance87.jpg,42M8d-531,12-Feb-93,602.75,Bailey Group
Template5_Instance74.jpg,INV/10-90/723,22-Jan-19,435.65,Bailey Group
Template5_Instance72.jpg,INVI29-25/654,24-Feb-12,466.54,Bailey Group
Template5_Instance76.jpg,INV69224413,06-Nov-2006,621.51,Bailey Group
Template5_Instance75.jpg,5Y2M50-254,10-Dec-18,430.84,Bailey Group
Template5_Instance85.jpg,INV/04-17/464,11-Jul-05,145.01,Bailey Group
Template5_Instance77.jpg,7Y9M70-697,10-Feb-20,727.13,Bailey Group
Template5_Instance81.jpg,INVO9515767,29-Sep-94,550.59,Bailey Group
Template5_Instance79.jpg,7022-450,26-Oct-06,800.60,Bailey Group
Template5_Instance73.jpg,INVI58-96/838,08-Mar-2020,886.76,Bailey Group
Template5_Instance8.jpg,INV38744661,08-Oct-11,555.38,Bailey Group
Template5_Instance88.jpg,INV84798173,08-Mar-09,303.62,Bailey Group
Template6_Instance102.jpg,ININV37-49187,,Document Date: 03-Oct-17,Date: 03-Oct-17
Template6_Instance103.jpg,INV95822576,09-F,165.15,nguyen-doyle.com
Template6_Instance0.jpg,ININV36598808,,Date: 16-Feb-02,Total Amount: 1016.78 EUR | Vendor: johnston.com
Template5_Instance93.jpg,INV69404236,22-Apr-2021,912.25,Bailey Group
Template5_Instance94.jpg,INV/25-70/817,25-May-2017,730.98,Bailey Group
Template5_Instance90.jpg,INV59918417,03-Nov-14,549.71,Bailey Group
Template5_Instance96.jpg,1791-334,19-Nov-14,432.15,Bailey Group
Template5_Instance99.jpg,ININV20-33146,,Date: 05-Mar-02 Total Amount: 231.13,Vendor: Bailey Group
Template6_Instance101.jpg,INVO1968201,20-Feb-04,31.74,"Phillips, Thomas and Malone"
Template5_Instance91.jpg,3450-340,12-Mar-2002,266.54,Bailey Group
Template5_Instance95.jpg,1Y6M3d-986,22-Mar-2022,846.30,Bailey Group
Template5_Instance97.jpg,INV/O1-72!920,08-Dec-2003,555.89,Bailey Group
Template5_Instance9.jpg,INV13808977,26-Dec-19,309.17,Bailey Group
Template6_Instance104.jpg,ININVIEA57096,,Date: 07-Mar-2019,Date: 07-Mar-2019
Template6_Instance1.jpg,9Y7M2d-047,17-Aug-16,38.35,"Phillips, Thomas and Malone"
Template5_Instance89.jpg,ININV60-40181D29-J-97TA70343,,,Vendor: Bailey Group
Template5_Instance98.jpg,INVE9065441,12-Apr-2222,349.22,Bailey Group
Template6_Instance100.jpg,INVOICENINVO7971032,,Date: 08-Mar-13,TAX: Phillips
Template5_Instance92.jpg,3030-095,30-Jan-15,1473.15,Bailey Group
Template6_Instance10.jpg,ININV94-82796,,Date: INV/94-82,Suite 409
Template6_Instance115.jpg,64(): jun-2014,04 03-879,320.72,Blue dart courier
Template6_Instance105.jpg,INVO0430847,07-Mar-2018,534.94,"Phillips, Thomas and Malone"
Template6_Instance107.jpg,IN2246-546,,Invoice No: 2246-546,Vendor: amy96
Template6_Instance12.jpg,INV52715783,21-Sep-99,511.29,Holt-holland.com
Template6_Instance108.jpg,1298-681,30-Aug-04,722.96,Martin Murphy -
Template6_Instance106.jpg,6509-314,13-Nov-1995,1370.25,"Phillips, Thomas and Malone | AES : 58.88, Vendor: Malone |"
Template6_Instance109.jpg,3674-34,12-Jul-08,1179.18,"Phillips, Thomas and Malone"
Template6_Instance117.jpg,IN2Y1M6-761,,Date: 03-Sep-08,Amount: 5.00
Template6_Instance113.jpg,ININV64012601,,Date: 12-Mar-2121,Date: 12-Mar-21
Template6_Instance110.jpg,INV/S7-03/198,31-Jan-07,$82.75,"Phillips, Thomas and Malone"
Template6_Instance119.jpg,INV/73-16/108,23-Oct-2009,1075.91,"Phillips, Thomas and Malone"
Template6_Instance118.jpg,6846-025,08-Mar-2010,941.01,"Blue Dart, 6.24%"
Template6_Instance111.jpg,INV50972417,06-Apr-94,789 351-224,David Scott
Template6_Instance11.jpg,IN1983-369,,Date: 17-Jul-22,Payment Method: ACH (Digital Signature) Invoice No: 1983-369
Template6_Instance112.jpg,ININV57-83209,,Date: 12-Jun-07,Vendor: Phillips
Template6_Instance114.jpg,ININV91-30581,,Date: 17-Sep-2018,Amount: 672.20
Template6_Instance116.jpg,6829-582,03-Apr-96,379.80,"Williams, Thomas & Malone"
Template6_Instance130.jpg,INV/80-81/849,27-Jan-09,906.56,"Mion hear myset, 57.79,"
Template6_Instance121.jpg,INV/77-45/710,04-Sep-2019,419.83,"Harris, Thomas and Malone"
Template6_Instance137.jpg,IN1Y3M8-829,,Date: 14-Mar-2000,Vendor: kaylakramer@example.com
Template6_Instance136.jpg,ININVB898548,,Date: 09-Feb-2019,Payment Date: 05-04-2019
Template6_Instance129.jpg,INV/99-38/573,06-Jun-04,676.36,"Phillips, Thomas and Malone, Exact:"
Template6_Instance133.jpg,INV/25-06/063,11-Apr-2001,1087.15,"Amber Jones, Thomas and Malone"
Template6_Instance122.jpg,IN5Y3M3-811,,Date: 29-Dec-17,Vendor: Richard Ross
Template6_Instance125.jpg,INV/62-971674,10-Oct-10,915.77,"Phillips, Thomas and Malone,"
Template6_Instance128.jpg,4279-472,14-Dec-08,350.76,"William Garcia Phillips, Thomas and Malone"
Template6_Instance120.jpg,IN21M14-263,,Invoice No: 19-Aug-03,Total Amount: 442.89
Template6_Instance135.jpg,IN3976-217,,dated on 05/23,Invoice No: 3976-217
Template6_Instance123.jpg,INV15055922,12-Dec-08,344.48,Exampk
Template6_Instance126.jpg,IN8974-628,,Date: 28-Sep-21,Vendor: Blue Dart
Template6_Instance127.jpg,IN4Y5M4-170,,Date: 05-Aug-2008,Invoice No: 4Y5M4d-170
Template6_Instance131.jpg,IN23M1-504,,Date: 24-May-2020,Invoice Amount: Phillips
Template6_Instance138.jpg,ININV31-63295,,Date: 16-Jul-21,Total Amount: 257.46
Template6_Instance134.jpg,INV/39/56/698,23-Dec-14,1160.72,"Nautica, Thomas and Malone"
Template6_Instance13.jpg,IN9Y8M6-975,,Date: 28-Aug-16,Payment Date: 14 days
Template6_Instance124.jpg,ININV0B849306,,Date: 23-Apr-11,Amount: 634.68
Template6_Instance132.jpg,1703-694,22-Apr-13,312.66,:
Template6_Instance139.jpg,INV93439967,11-Apr-17,766.16,"Phillips, Thomas and Malone."
Template6_Instance154.jpg,ININV74429953,,Date: 01-Apr-98,Payment Type: cash
Template6_Instance146.jpg,INV/88-33/637,29-Nov-03,1043.80,"Raymond-Wise, Inc."
Template6_Instance155.jpg,5488-846,16-Jan-13,129.71,"Xtra, Invoice No: 5488-846, Vendor:Extra,"
Template6_Instance157.jpg,IN72M34-215,,Date: 01-Jan-08,Vendor: Phillips
Template6_Instance15.jpg,IN2691-707,,Date: 25-Jun-96,Amount: 158.12
Template6_Instance140.jpg,8865-538,11-Feb-94,823.50,Cox - Inc.
Template6_Instance142.jpg,36M14-870,01-Sep-08,425.87,"Phillips, Thomas and Malone | Date:"
Template6_Instance150.jpg,INV37237195,11-Nov-03,70.81,"ea 812  Invoice No: INV37237195,"
Template6_Instance143.jpg,9Y8M5d-580,27-Sep-99,672.19,"Malone: Prevent 74.03 222.09, Vendor: stefan.graves"
Template6_Instance147.jpg,IN7Y8M9-967,,Date: 12-Nov-17,Amount: 651.33
Template6_Instance156.jpg,INV67947765,02-Jun-06,336.64,Justin Robinson
Template6_Instance144.jpg,IN1Y2M6-164INVOICEN1Y2M6-164IN1Y2M6-164TAX3395AUCT3510TOTALAUD53812TOTALTAX652TAXAUDAUD30910TOTALAUD30910TOTALAUD53812TOTALAU,,,
Template6_Instance149.jpg,INV05838243,01-Oct-04,221.19,"blue dart courier, Spezialist:"
Template6_Instance141.jpg,INV/73-04/035,05-Apr-06,1473.05,"bmoore,284-501-0041,"
Template6_Instance152.jpg,INV/47-06/919,17-May-06,31.92,"Phillips, Thomas and Malone"
Template6_Instance14.jpg,IN2Y7M4-500,,Date: 01-Jun-06,Vendor: Hernandez-Hernandez.infol
Template6_Instance145.jpg,ININV27509750,,Date: 22-Apr-10,Vendor: smithcarroll.com
Template6_Instance148.jpg,IN81-373,,Date: 17-Aug-2020,Invoice No: 81-373
Template6_Instance151.jpg,IN14M9-864,,Date: 22-Feb-20,Vendor: lexander thomas & malone
Template6_Instance153.jpg,ININV21641571,,Date: 24-Apr-2020,Unit Amount: 453.48
Template6_Instance173.jpg,IN7328-802,,Date: 23-Jul-17,Vendor: Paula Lewis
Template6_Instance165.jpg,INSYSM4-619,,Date: 12-Aug-2012,Total Amount: 491.68
Template6_Instance17.jpg,IN4Y5M34-492,,Date: 01-May-13,Date:
Template6_Instance164.jpg,IN1592-121,,Date: 21-Oct-2017,Vendor: Phillips
Template6_Instance174.jpg,ININV36384769,,Date: 22-May-16,Amount: 755.73
Template6_Instance158.jpg,INV90864171,26-Dec-96,208.82,Blue Dart
Template6_Instance170.jpg,ININV95313560,,Date: 17-Oct-93,Vendor: Phillips
Template6_Instance163.jpg,5017-025,09-Feb-97,158.96,smerritt - Invoice Number: 09-Feb-09-
Template6_Instance162.jpg,2228-490,24--May-02,76.88,"Exacto, Thomas & Malone, Inc. | TAXVAT (4.7%): 35.52, Vendor: Example.net"
Template6_Instance166.jpg,INV47896174,10-Sep-2015,464.09,Thomas and Malone
Template6_Instance167.jpg,IN5Y3M4-934,,Date: 02-Jul-22,Invoice No: 5Y3M4d-934
Template6_Instance160.jpg,ININV96894145,,Date: 26-Sep-2018,Vendor: Xanderskimberly
Template6_Instance159.jpg,INV63830019,18-Jan-2023,835.46,"Bailey-Briggs, Thomas and Malone"
Template6_Instance161.jpg,ININV30425838,,Date: 10-Mar-04,Date: Invoice No: INV30425838
Template6_Instance172.jpg,ININ108661183,,Date: 07-Dec-16,Payment to: ipsi.tomasandmalone.com
Template6_Instance16.jpg,ININV81774961,,Date: 14-Apr-06,Amount: 480648
Template6_Instance171.jpg,ININV25-03520,,Date: 29-Sep-94,Vendor: Franck & Co.
Template6_Instance168.jpg,ININVI79-11186,,Date: 17-Jul-08,Vendor: PHOTO: PHOTO: SUB_TOTAL: 246.17
Template6_Instance169.jpg,ININV91835655,,Date: 10-Jan-2001,Amount: 632.64
Template6_Instance176.jpg,IN23M2-417,,Date: 09-Oct-93,Date: 88.8
Template6_Instance180.jpg,ININV76-89064,,+04-454-63-0058,Date: 20-Jun-2014
Template6_Instance175.jpg,ININV82103976,,Date: 11-Jun-93,Date: 11-Jun-93
Template6_Instance19.jpg,IN 1v48089433,27-Sep-2018,583.56,"TAX Invoice No: 1v48089433,"
Template6_Instance191.jpg,IN7859-726,,Date: 16-Jan-94,Time: 16: 16-Jan-94
Template6_Instance183.jpg,IN4149-116,,Date: 28-Nov-16,Amount: 747.65
Template6_Instance184.jpg,INV63203637,17-Sep-14,700.06,"Phillips, Thomas and Malone: INV63203637, Vendor: Phillips, Thomas and Malone:"
Template6_Instance179.jpg,IN8371-395,,Date: 16-Dec-2022,Invoice No: 8371-395
Template6_Instance177.jpg,ININV64242065,,Date: 30-Sep-19,Total Amount: 164.68
Template6_Instance186.jpg,IN6Y1M74-977,,Date: 01-Aug-08,Amount: 6.00 189664
Template6_Instance181.jpg,ININV31-32189,,Date: 12-Feb-08,Amount: 413.70
Template6_Instance188.jpg,IN44M1-405,,Date: 13-Dec-16,Vendor: Phillips
Template6_Instance193.jpg,ININV22322473,,Date: March 25,2019
Template6_Instance187.jpg,INV/12-35/301,and Time: 17-May-2021,78.07,bruce-massey.com
Template6_Instance182.jpg,ININVIT2P,,Date: 05-Nov-2013,Thomas and Malone
Template6_Instance185.jpg,INV76560791,07-May-2011,374.51,"Phillips, Thomas and Malone"
Template6_Instance18.jpg,IN9Y1M7-250,,Date: 10-Sep-94,Amount: 67.72
Template6_Instance178.jpg,INV/05-28/492,05-Sep-21,839.50,David Well
Template6_Instance190.jpg,IN9599-370,,Date: 15-Nov-04,Ven: Phillips
Template6_Instance192.jpg,IN0194-762,,60290,téwartville
Template6_Instance189.jpg,IN6N-296,,,Vendor: Phillips
Template6_Instance199.jpg,IN5Y2M-149,Term: 14-Aug 1999,Date: 13-Aug-99,To:gregorypatel@example.org
Template6_Instance195.jpg,7Y9M74-535,20-Sep-08,720.43,"Icontreras, Port Timothy, VA 35698, Vendor: Icontreras, Inc."
Template6_Instance197.jpg,2v9M50-637,28-Jan-2013,244.89,"arroyo hogan, Thomas and Malone"
Template6_Instance26.jpg,IN43M4-472,,Date: 10-Jun-10,Amount: 847.59
Template6_Instance27.jpg,ININV19-87671,,Date: 02-May-20,Date: 05-May-20
Template6_Instance31.jpg,IN2076-675,,Date: 17-Nov-2002,Date: 17-Nov-2002
Template6_Instance2.jpg,IN26M9-079,,Date: 21-Jun-2010,Amount: 425.74
Template6_Instance29.jpg,INV83109214,26-Feb-11,343.26,ryan.ran.ran.ran.ran.ran.ran.ran.ran.ran.ran.ran.ran.ran.ran.ran.ran.ran.ran.ran.ran.ran.ran.
Template6_Instance194.jpg,1Y8M6d-417,16-Jun-06,238.58,stephens.com
Template6_Instance30.jpg,ININV91-63792,,Date: 29- Oct,1995
Template6_Instance196.jpg,ININVO8376398,,Date: 10-May-2015,Date:
Template6_Instance21.jpg,INV28421498,03-Aug-11,445.52,"WPP, Phillips, Thomas and Malone"
Template6_Instance24.jpg,0821-026,25-Aug-95,690.88,TAX: Malone -
Template6_Instance198.jpg,ININV95927699,,Date: 16-Jun-95,Vendor: Phillips
Template6_Instance28.jpg,ININV900793866,,& Date: 30-Mar-11,Vendor: Phillips
Template6_Instance3.jpg,IN73M34-770,,Date: 20-Apr-13,Payment: 694.73
Template6_Instance23.jpg,6Y6M2d-559,03-Aug-08,210.09,"Phillips, Thomas and Malone"
Template6_Instance20.jpg,IN7800-657,,Date: 25-Oct-2018,Vendor: abig 1oza
