filename,extracted_fields
Template5_Instance107.jpg,"Invoice No: 3Y7M74-728, Date: 17-Feb-98, Total Amount: 473.44, Vendor: Bailey Group"
Template5_Instance135.jpg,"Invoice No: 8184-718, Date: 05-Aug-07, Total Amount: 803.07, Vendor: Bailey Group"
Template5_Instance134.jpg,"Invoice No: 8648-102, Date: 18-Mar-04, Total Amount: 916.18, Vendor: Bailey Group"
Template5_Instance133.jpg,"Invoice No: INV63974312, Date: 13-Oct-95, Total Amount: 825.37, Vendor: Bailey Group"
Template5_Instance129.jpg,"Invoice No: INV/22-46/531, Date: 08-Jan-00, Total Amount: 573.73, Vendor: Bailey Group"
Template5_Instance126.jpg,"Invoice No: 2480-849, Date: 09-May-99, Total Amount: 290.58, Vendor: Bailey Group"
Template5_Instance121.jpg,"Invoice No: INV13393333, Date: 16-Jun-08, Total Amount: 685.94, Vendor: Bailey Group"
Template5_Instance122.jpg,"Invoice No: 7466-779, Date: 01-Jan-22, Total Amount: 1021.38, Vendor: Bailey Group"
Template5_Instance123.jpg,"Invoice No: INV/23-40/185, Date: 02-Nov-14, Total Amount: 877.54, Vendor: Bailey Group"
Template5_Instance125.jpg,"Invoice No: 0261-996, Date: 30-Dec-01, Total Amount: 232.24, Vendor: Bailey Group"
Template5_Instance128.jpg,"Invoice No: 6Y9M90-097, Date: 15-Apr-07, Total Amount: 424.62, Vendor: Bailey Group"
Template5_Instance131.jpg,"Invoice No: INV21155179, Date: 09-Apr-95, Total Amount: 612.80, Vendor: Bailey Group"
Template5_Instance130.jpg,"Invoice No: 2168-699, Date: 06-Jun-00, Total Amount: 686.08, Vendor: Bailey Group"
Template5_Instance132.jpg,"Invoice No: 9896-667, Date: 06-Jan-19, Total Amount: 378.19, Vendor: Bailey Group"
Template5_Instance13.jpg,"Invoice No: 6Y3M50-522, Date: 25-Oct-16, Total Amount: 1097.04, Vendor: Bailey Group"
Template5_Instance124.jpg,"Invoice No: INV/45-91/920, Date: 17-Feb-01, Total Amount: 568.28, Vendor: Bailey Group"
Template5_Instance127.jpg,"Invoice No: 6538-202, Date: 30-Nov-12, Total Amount: 488.89, Vendor: Bailey Group"
Template5_Instance143.jpg,"Invoice No: INV/70-02/655, Date: 24-Apr-95, Total Amount: 718.38, Vendor: Bailey Group"
Template5_Instance150.jpg,"Invoice No: INV51084534, Date: 19-Feb-93, Total Amount: 674.82, Vendor: Bailey Group"
Template5_Instance15.jpg,"Invoice No: 8446-658, Date: 15-Jan-22, Total Amount: 716.83, Vendor: Bailey Group"
Template5_Instance14.jpg,"Invoice No: 1Y7M5d-832, Date: 28-Feb-00, Total Amount: 202.06, Vendor: Bailey Group"
Template5_Instance139.jpg,"Invoice No: 3869-056, Date: 03-Mar-06, Total Amount: 137.84, Vendor: Bailey Group"
Template5_Instance136.jpg,"Invoice No: 6063-882, Date: 26-Sep-09, Total Amount: 488.08, Vendor: Bailey Group"
Template5_Instance144.jpg,"Invoice No: INV63072827, Date: 18-Jan-97, Total Amount: 94.12, Vendor: Bailey Group"
Template5_Instance149.jpg,"Invoice No: 3Y5M3d-707, Date: 02-Apr-12, Total Amount: 584.25, Vendor: Bailey Group"
Template5_Instance142.jpg,"Invoice No: 9061-163, Date: 13-Aug-18, Total Amount: 702.81, Vendor: Bailey Group"
Template5_Instance141.jpg,"Invoice No: 4Y1M2d-508, Date: 07-Apr-20, Total Amount: 584.48, Vendor: Bailey Group"
Template5_Instance147.jpg,"Invoice No: INV31854676, Date: 06-Jul-93, Total Amount: 670.88, Vendor: Bailey Group"
Template5_Instance138.jpg,"Invoice No: INVO1272742, Date: 28-May-07, Total Amount: 1045.01, Vendor: Bailey Group"
Template5_Instance145.jpg,"Invoice No: 1927-937, Date: 05-Jul-10, Total Amount: 428.73, Vendor: Bailey Group"
Template5_Instance140.jpg,"Invoice No: INV/52-401477, Date: 02-Jul-02, Total Amount: 200.59, Vendor: Bailey Group"
Template5_Instance137.jpg,"Invoice No: INV37345064, Date: 11-May-16, Total Amount: 964.37, Vendor: Bailey Group"
Template5_Instance146.jpg,"Invoice No: 1Y2M14-847, Date: 02-Oct-15, Total Amount: 930.23, Vendor: Bailey Group"
Template5_Instance148.jpg,"Invoice No: INV/20-27/182, Date: 23-Jun-04, Total Amount: 860.51, Vendor: Bailey Group"
Template5_Instance162.jpg,"Invoice No: 5Y3MSd-858, Date: 11-Sep-13, Total Amount: 138.64, Vendor: Bailey Group"
Template5_Instance164.jpg,"Invoice No: 8698-237, Date: 13-May-93, Total Amount: 689.23, Vendor: Bailey Group"
Template5_Instance151.jpg,"Invoice No: 4084-032, Date: 21-Jun-96, Total Amount: 406.44, Vendor: Bailey Group"
Template5_Instance153.jpg,"Invoice No: INV/03-16/685, Date: 19-Jun-12, Total Amount: 812.13, Vendor: Bailey Group"
Template5_Instance155.jpg,"Invoice No: 9Y1M10-438, Date: 21-Feb-94, Total Amount: 606.73, Vendor: Bailey Group"
Template5_Instance16.jpg,"Invoice No: INV12210426, Date: 20-Mar-96, Total Amount: 1597.52, Vendor: Bailey Group"
Template5_Instance165.jpg,"Invoice No: INVI67-99/527, Date: 26-May-11, Total Amount: 676.88, Vendor: Bailey Group"
Template5_Instance152.jpg,"Invoice No: 4291-900, Date: 02-Feb-02, Total Amount: 644.12, Vendor: Bailey Group"
Template5_Instance158.jpg,"Invoice No: INV/82-02/498, Date: 05-May-15, Total Amount: 724.28, Vendor: Bailey Group"
Template5_Instance156.jpg,"Invoice No: 2520-262, Date: 13-Mar-07, Total Amount: 437.83, Vendor: Bailey Group"
Template5_Instance163.jpg,"Invoice No: 4520-046, Date: 22-Apr-96, Total Amount: 1638.46, Vendor: Bailey Group"
Template5_Instance154.jpg,"Invoice No: INV29672678, Date: 26-Nov-94, Total Amount: 359.63, Vendor: Bailey Group"
Template5_Instance160.jpg,"Invoice No: 2304-814, Date: 08-May-97, Total Amount: 625.12, Vendor: Bailey Group"
Template5_Instance167.jpg,"Invoice No: 2056-271, Date: 25-Mar-97, Total Amount: 1030.91, Vendor: Bailey Group"
Template5_Instance166.jpg,"Invoice No: INV18476408, Date: 13-Jun-13, Total Amount: 261.52, Vendor: Bailey Group"
Template5_Instance161.jpg,"Invoice No: INV/65-09/745, Date: 17-Apr-18, Total Amount: 721.23, Vendor: Bailey Group"
Template5_Instance157.jpg,"Invoice No: INVI55-52/084, Date: 02-Aug-22, Total Amount: 810.11, Vendor: Bailey Group"
Template5_Instance159.jpg,"Invoice No: 7568-279, Date: 28-Sep-98, Total Amount: 199.47, Vendor: Bailey Group"
Template5_Instance174.jpg,"Invoice No: 1007-818, Date: 01-Nov-97, Total Amount: 558.08, Vendor: Bailey Group"
Template5_Instance179.jpg,"Invoice No: INV/15-30/296, Date: 01-May-07, Total Amount: 1041.29, Vendor: Bailey Group"
Template5_Instance168.jpg,"Invoice No: INV40317268, Date: 31-Jul-02, Total Amount: 1363.67, Vendor: Bailey Group"
Template5_Instance18.jpg,"Invoice No: 7032-838, Date: 20-Aug-18, Total Amount: 1220.74, Vendor: Bailey Group"
Template5_Instance180.jpg,"Invoice No: 3Y7M74-076, Date: 17-Nov-05, Total Amount: 1610.42, Vendor: Bailey Group"
Template5_Instance181.jpg,"Invoice No: 7Y9M20-013, Date: 08-Dec-02, Total Amount: 756.14, Vendor: Bailey Group"
Template5_Instance17.jpg,"Invoice No: 4Y7M9d-814, Date: 07-Mar-99, Total Amount: 577.38, Vendor: Bailey Group"
Template5_Instance169.jpg,"Invoice No: INV/25-98/228, Date: 30-Sep-11, Total Amount: 346.46, Vendor: Bailey Group"
Template5_Instance175.jpg,"Invoice No: INV83522002, Date: 03-Jan-08, Total Amount: 1203.25, Vendor: Bailey Group"
Template5_Instance176.jpg,"Invoice No: INV66743746, Date: 08-Nov-15, Total Amount: 515.15, Vendor: Bailey Group"
Template5_Instance182.jpg,"Invoice No: 9994-274, Date: 26-Oct-13, Total Amount: 1244.45, Vendor: Bailey Group"
Template5_Instance177.jpg,"Invoice No: INV85996808, Date: 16-Jun-96, Total Amount: 834.36, Vendor: Bailey Group"
Template5_Instance172.jpg,"Invoice No: 9434-310, Date: 04-Sep-19, Total Amount: 1266.64, Vendor: Bailey Group"
Template5_Instance170.jpg,"Invoice No: 1Y1M9d-452, Date: 12-Jan-98, Total Amount: 706.95, Vendor: Bailey Group"
Template5_Instance171.jpg,"Invoice No: INV33276270, Date: 30-Jun-18, Total Amount: 848.89, Vendor: Bailey Group"
Template5_Instance173.jpg,"Invoice No: INVI04-04/509, Date: 30-Dec-93, Total Amount: 69.07, Vendor: Bailey Group"
Template5_Instance178.jpg,"Invoice No: 1017-737, Date: 11-Nov-22, Total Amount: 1029.86, Vendor: Bailey Group"
Template5_Instance199.jpg,"Invoice No: INVO5314713, Date: 18-Aug-13, Total Amount: 1183.93, Vendor: Bailey Group"
Template5_Instance194.jpg,"Invoice No: INV/97-41/597, Date: 05-Apr-08, Total Amount: 417.7, Vendor: Bailey Group"
Template5_Instance188.jpg,"Invoice No: INV/35-06/980, Date: 09-Feb-19, Total Amount: 1133.87, Vendor: Bailey Group"
Template5_Instance185.jpg,"Invoice No: INV/19-90/000, Date: 18-Mar-03, Total Amount: 196.45, Vendor: Bailey Group"
Template5_Instance197.jpg,"Invoice No: INV/49-50/158, Date: 25-Sep-06, Total Amount: 36.61, Vendor: Bailey Group"
Template5_Instance184.jpg,"Invoice No: INV/69-48/655, Date: 16-Mar-93, Total Amount: 501.58, Vendor: Bailey Group"
Template5_Instance186.jpg,"Invoice No: 0769-828, Date: 19-Apr-05, Total Amount: 491.71, Vendor: Bailey Group"
Template5_Instance191.jpg,"Invoice No: INV50822150, Date: 16-Jun-99, Total Amount: 626.57, Vendor: Bailey Group"
Template5_Instance192.jpg,"Invoice No: INV/38-79/123, Date: 06-Oct-18, Total Amount: 870.62, Vendor: Bailey Group"
Template5_Instance193.jpg,"Invoice No: 0612-094, Date: 15-Sep-02, Total Amount: 431.71, Vendor: Bailey Group"
Template5_Instance183.jpg,"Invoice No: 9Y6M3d-504, Date: 24-Nov-10, Total Amount: 517.05, Vendor: Bailey Group"
Template5_Instance19.jpg,"Invoice No: 9Y8M2d-579, Date: 13-Oct-15, Total Amount: 1617.48, Vendor: Bailey Group"
Template5_Instance195.jpg,"Invoice No: INV33930017, Date: 18-May-02, Total Amount: 402.7, Vendor: Bailey Group"
Template5_Instance190.jpg,"Invoice No: 7Y2M9d-356, Date: 17-May-19, Total Amount: 1147.99, Vendor: Bailey Group"
Template5_Instance196.jpg,"Invoice No: 5Y1M64-936, Date: 05-Feb-12, Total Amount: 1184.96, Vendor: Bailey Group"
Template5_Instance187.jpg,"Invoice No: INV/56-61/529, Date: 20-Nov-00, Total Amount: 728.73, Vendor: Bailey Group"
Template5_Instance198.jpg,"Invoice No: INV/62-19/697, Date: 21-May-05, Total Amount: 1082.86, Vendor: Bailey Group"
Template5_Instance189.jpg,"Invoice No: INV/24-23/230, Date: 23-Sep-18, Total Amount: 544.66, Vendor: Bailey Group"
Template5_Instance23.jpg,"Invoice No: INV54974189, Date: 04-Aug-98, Total Amount: 545.06, Vendor: Bailey Group"
Template5_Instance27.jpg,"Invoice No: 2213-844, Date: 08-Feb-07, Total Amount: 1192.38, Vendor: Bailey Group"
Template5_Instance33.jpg,"Invoice No: INV98001120, Date: 29-May-14, Total Amount: 757.50, Vendor: Bailey Group"
Template5_Instance36.jpg,"Invoice No: 6Y1M8d-103, Date: 29-May-00, Total Amount: 1084.15, Vendor: Bailey Group"
Template5_Instance25.jpg,"Invoice No: INV/06-00/537, Date: 26-Aug-21, Total Amount: 409.86, Vendor: Bailey Group"
Template5_Instance21.jpg,"Invoice No: 6832-035, Date: 23-Nov-08, Total Amount: 71.48, Vendor: Bailey Group"
Template5_Instance3.jpg,"Invoice No: 8Y2M2d-282, Date: 19-Sep-13, Total Amount: 205.04, Vendor: Bailey Group"
Template5_Instance30.jpg,"Invoice No: INV23687207, Date: 19-Apr-08, Total Amount: 575.43, Vendor: Bailey Group"
Template5_Instance35.jpg,"Invoice No: 6Y5M4d-123, Date: 29-Nov-02, Total Amount: 509.18, Vendor: Bailey Group"
Template5_Instance2.jpg,"Invoice No: 1Y9M4d-875, Date: 25-Feb-10, Total Amount: 134.04, Vendor: Bailey Group"
Template5_Instance32.jpg,"Invoice No: INV/42-69/782, Date: 12-Feb-12, Total Amount: 344.70, Vendor: Bailey Group"
Template5_Instance37.jpg,"Invoice No: 7821-407, Date: 07-Mar-02, Total Amount: 780.38, Vendor: Bailey Group"
Template5_Instance31.jpg,"Invoice No: 3Y9M74-705, Date: 19-Jan-16, Total Amount: 387.25, Vendor: Bailey Group"
Template5_Instance29.jpg,"Invoice No: INV10703469, Date: 11-Mar-96, Total Amount: 132.99, Vendor: Bailey Group"
Template5_Instance24.jpg,"Invoice No: INV/52-27/207, Date: 30-Apr-02, Total Amount: 398.76, Vendor: Bailey Group"
Template5_Instance26.jpg,"Invoice No: INV82451216, Date: 23-Sep-00, Total Amount: 334.94, Vendor: Bailey Group"
Template5_Instance22.jpg,"Invoice No: INV/48-46/977, Date: 09-Oct-02, Total Amount: 398.24, Vendor: Bailey Group"
Template5_Instance20.jpg,"Invoice No: INV85367382, Date: 11-May-09, Total Amount: 190.52, Vendor: Bailey Group"
Template5_Instance28.jpg,"Invoice No: 3939-336, Date: 08-Oct-11, Total Amount: 570.04, Vendor: Bailey Group"
Template5_Instance34.jpg,"Invoice No: INV99045409, Date: 24-Oct-94, Total Amount: 101.36, Vendor: Bailey Group"
Template5_Instance39.jpg,"Invoice No: 1YoM9d-365, Date: 04-Jan-06, Total Amount: 797.36, Vendor: Bailey Group"
Template5_Instance4.jpg,"Invoice No: INV70608057, Date: 13-Nov-09, Total Amount: 605.13, Vendor: Bailey Group"
Template5_Instance43.jpg,"Invoice No: 0658-773, Date: 24-Sep-14, Total Amount: 432.62, Vendor: Bailey Group"
Template5_Instance41.jpg,"Invoice No: 76M4d-923, Date: 06-Apr-13, Total Amount: 475.18, Vendor: Bailey Group"
Template5_Instance47.jpg,"Invoice No: INV69608617, Date: 18-May-15, Total Amount: 946.02, Vendor: Bailey Group"
Template5_Instance50.jpg,"Invoice No: 8433-888, Date: 25-Oct-01, Total Amount: 227.54, Vendor: Bailey Group"
Template5_Instance44.jpg,"Invoice No: INV/56-60/971, Date: 05-Nov-17, Total Amount: 720.32, Vendor: Bailey Group"
Template5_Instance53.jpg,"Invoice No: 1Y1M3d-451, Date: 08-Nov-13, Total Amount: 208.80, Vendor: Bailey Group"
Template5_Instance38.jpg,"Invoice No: INV7535077, Date: 04-Jun-06, Total Amount: 1446.26, Vendor: Bailey Group"
Template5_Instance46.jpg,"Invoice No: 3943-348, Date: 09-Jan-97, Total Amount: 779.79, Vendor: Bailey Group"
Template5_Instance48.jpg,"Invoice No: 6299-650, Date: 31-Aug-15, Total Amount: 597.85, Vendor: Bailey Group"
Template5_Instance51.jpg,"Invoice No: INV/99-88/084, Date: 13-Jun-18, Total Amount: 111.56, Vendor: Bailey Group"
Template5_Instance49.jpg,"Invoice No: INV/19-96/714, Date: 23-Oct-03, Total Amount: 423.40, Vendor: Bailey Group"
Template5_Instance40.jpg,"Invoice No: INV/70-97/220, Date: 11-May-12, Total Amount: 290.30, Vendor: Bailey Group"
Template5_Instance5.jpg,"Invoice No: 1Y8M3d-983, Date: 28-Sep-11, Total Amount: 1155.59, Vendor: Bailey Group"
Template5_Instance42.jpg,"Invoice No: INV/87-72/822, Date: 14-Oct-12, Total Amount: 1166.19, Vendor: Bailey Group"
Template5_Instance45.jpg,"Invoice No: INV/50-63/129, Date: 06-Apr-00, Total Amount: 564.19, Vendor: Bailey Group"
Template5_Instance52.jpg,"Invoice No: INV73768705, Date: 13-Mar-99, Total Amount: 489.33, Vendor: Bailey Group"
Template5_Instance66.jpg,"Invoice No: INV/38-30/289, Date: 02-Nov-19, Total Amount: 989.65, Vendor: Bailey Group"
Template5_Instance7.jpg,"Invoice No: 5Y9M7d-605, Date: 08-Oct-06, Total Amount: 580.25, Vendor: Bailey Group"
Template5_Instance64.jpg,"Invoice No: 9Y6M8d-108, Date: 21-Jul-18, Total Amount: 580.92, Vendor: Bailey Group"
Template5_Instance71.jpg,"Invoice No: INV/23-91/837, Date: 31-Oct-93, Total Amount: 851.06, Vendor: Bailey Group"
Template5_Instance63.jpg,"Invoice No: INV/79-87/090, Date: 30-Oct-94, Total Amount: 699.03, Vendor: Bailey Group"
Template5_Instance62.jpg,"Invoice No: 9739-899, Date: 01-Mar-05, Total Amount: 988.78, Vendor: Bailey Group"
Template5_Instance68.jpg,"Invoice No: 9128-313, Date: 09-Oct-01, Total Amount: 786.25, Vendor: Bailey Group"
Template5_Instance57.jpg,"Invoice No: 8Y2M4d-107, Date: 25-Oct-07, Total Amount: 692.33, Vendor: Bailey Group"
Template5_Instance69.jpg,"Invoice No: 6589-324, Date: 01-Feb-17, Total Amount: 397.88, Vendor: Bailey Group"
Template5_Instance58.jpg,"Invoice No: SYOM5-822, Date: 17-Aug-02, Total Amount: 393.69, Vendor: Bailey Group"
Template5_Instance56.jpg,"Invoice No: 7872-072, Date: 25-Aug-18, Total Amount: 982.67, Vendor: Bailey Group"
Template5_Instance55.jpg,"Invoice No: 8Y2MSd-937, Date: 07-Aug-10, Total Amount: 577.79, Vendor: Bailey Group"
Template5_Instance60.jpg,"Invoice No: 8133-812, Date: 07-Aug-97, Total Amount: 1037.71, Vendor: Bailey Group"
Template5_Instance70.jpg,"Invoice No: INV85922949, Date: 08-Nov-98, Total Amount: 1230.57, Vendor: Bailey Group"
Template5_Instance6.jpg,"Invoice No: INV/39-57/710, Date: 01-Apr-08, Total Amount: 199.91, Vendor: Bailey Group"
Template5_Instance67.jpg,"Invoice No: INV/44-37/195, Date: 30-Jun-13, Total Amount: 1496.57, Vendor: Bailey Group"
Template5_Instance59.jpg,"Invoice No: 1434-910, Date: 07-Jun-03, Total Amount: 378.99, Vendor: Bailey Group"
Template5_Instance61.jpg,"Invoice No: INV/25-89/293, Date: 15-Oct-14, Total Amount: 328.11, Vendor: Bailey Group"
Template5_Instance65.jpg,"Invoice No: 6Y6M6d-698, Date: 04-Sep-18, Total Amount: 357.11, Vendor: Bailey Group"
Template5_Instance54.jpg,"Invoice No: 9Y7M4d-520, Date: 20-Apr-18, Total Amount: 358.19, Vendor: Bailey Group"
Template5_Instance82.jpg,"Invoice No: INV19029445, Date: 13-Jul-10, Total Amount: 342.15, Vendor: Bailey Group"
Template5_Instance84.jpg,"Invoice No: 24M5d-793, Date: 13-Jul-94, Total Amount: 203.76, Vendor: Bailey Group"
Template5_Instance80.jpg,"Invoice No: 4Y3M8d-156, Date: 16-Mar-05, Total Amount: 1044.47, Vendor: Bailey Group"
Template5_Instance86.jpg,"Invoice No: 0145-790, Date: 15-Jan-14, Total Amount: 655.01, Vendor: Bailey Group"
Template5_Instance83.jpg,"Invoice No: INVIO7-62/871, Date: 09-Dec-09, Total Amount: 239.40, Vendor: Bailey Group"
Template5_Instance78.jpg,"Invoice No: 6Y9M34-405, Date: 24-Dec-19, Total Amount: 950.06, Vendor: Bailey Group"
Template5_Instance87.jpg,"Invoice No: 42M8d-531, Date: 12-Feb-93, Total Amount: 601.25, Vendor: Bailey Group"
Template5_Instance74.jpg,"Invoice No: INV/10-90/723, Date: 22-Jan-97, Total Amount: 435.65, Vendor: Bailey Group"
Template5_Instance72.jpg,"Invoice No: INVI29-25/654, Date: 24-Feb-12, Total Amount: 466.54, Vendor: Bailey Group"
Template5_Instance76.jpg,"Invoice No: INV69224413, Date: 06-Nov-06, Total Amount: 621.51, Vendor: Bailey Group"
Template5_Instance75.jpg,"Invoice No: 5Y2M50-254, Date: 10-Dec-18, Total Amount: 430.84, Vendor: Bailey Group"
Template5_Instance85.jpg,"Invoice No: INV/04-17/464, Date: 11-Jul-05, Total Amount: 145.01, Vendor: Bailey Group"
Template5_Instance77.jpg,"Invoice No: 7Y9M70-697, Date: 10-Feb-20, Total Amount: 727.13, Vendor: Bailey Group"
Template5_Instance81.jpg,"Invoice No: INVO9515767, Date: 29-Sep-94, Total Amount: 550.59, Vendor: Bailey Group"
Template5_Instance79.jpg,"Invoice No: 7022-450, Date: 26-Oct-06, Total Amount: 800.60, Vendor: Bailey Group"
Template5_Instance73.jpg,"Invoice No: INVI58-96/838, Date: 08-Mar-20, Total Amount: 886.76, Vendor: Bailey Group"
Template5_Instance8.jpg,"Invoice No: INV38744661, Date: 08-Oct-11, Total Amount: 555.38, Vendor: Bailey Group"
Template5_Instance88.jpg,"Invoice No: INV84798173, Date: 08-Mar-09, Total Amount: 303.62, Vendor: Bailey Group"
Template6_Instance102.jpg,"Invoice No: INV/37-49/187, Date: 03-Oct-17, Total Amount: 1213.85, Vendor: Phillips, Thomas and Malone"
Template6_Instance103.jpg,"Invoice No: INV95822576, Date: 09-F, Total Amount: 166.55, Vendor: Phillips, Thomas and Malone"
Template6_Instance0.jpg,"Invoice No: INV36598508, Date: 16-Feb-02, Total Amount: 1016.78, Vendor: Phillips, Thomas and Malone"
Template5_Instance93.jpg,"Invoice No: INV69404236, Date: 22-Apr-21, Total Amount: 912.25, Vendor: Bailey Group"
Template5_Instance94.jpg,"Invoice No: INV/25-70/817, Date: 25-May-17, Total Amount: 730.98, Vendor: Bailey Group"
Template5_Instance90.jpg,"Invoice No: INV59918417, Date: 03-Nov-94, Total Amount: 549.71, Vendor: Bailey Group"
Template5_Instance96.jpg,"Invoice No: 1791-334, Date: 19-Nov-14, Total Amount: 432.15, Vendor: Bailey Group"
Template5_Instance99.jpg,"Invoice No: INV/20-33/146, Date: 05-Mar-12, Total Amount: 231.13, Vendor: Bailey Group"
Template6_Instance101.jpg,"Invoice No: INVO1968201, Date: 20-Feb-04, Total Amount: 752.24, Vendor: Phillips, Thomas and Malone"
Template5_Instance91.jpg,"Invoice No: 3450-340, Date: 12-Mar-02, Total Amount: 266.54, Vendor: Bailey Group"
Template5_Instance95.jpg,"Invoice No: 1Y6M3d-986, Date: 22-Mar-22, Total Amount: 846.30, Vendor: Bailey Group"
Template5_Instance97.jpg,"Invoice No: INV/O1-72!920, Date: 08-Dec-03, Total Amount: 558.58, Vendor: Bailey Group"
Template5_Instance9.jpg,"Invoice No: INV13808977, Date: 26-Dec-19, Total Amount: 309.17, Vendor: Bailey Group"
Template6_Instance104.jpg,"Invoice No: INVIEA57096, Date: 07-Mar-19, Total Amount: 619.56, Vendor: Phillips, Thomas and Malone"
Template6_Instance1.jpg,"Invoice No: 9Y7M2d-047, Date: 17-Aug-16, Total Amount: 908.29, Vendor: Phillips, Thomas and Malone"
Template5_Instance89.jpg,"Invoice No: INV/60-40/181, Date: 29-Jul-97, Total Amount: 703.43, Vendor: Bailey Group"
Template5_Instance98.jpg,"Invoice No: INVE9065441, Date: 12-Apr-22, Total Amount: 349.22, Vendor: Bailey Group"
Template6_Instance100.jpg,"Invoice No: INVO7971032, Date: 08-Mar-13, Total Amount: 701.66, Vendor: Phillips, Thomas and Malone"
Template5_Instance92.jpg,"Invoice No: 3030-095, Date: 30-Jan-15, Total Amount: 1473.15, Vendor: Bailey Group"
Template6_Instance10.jpg,"Invoice No: INV/94-82/796, Date: nan, Total Amount: 217.93, Vendor: Marc Vista"
Template6_Instance115.jpg,"Invoice No: 64, Date: 04 03-879, Vendor: Phillips, Thomas and Malone"
Template6_Instance105.jpg,"Invoice No: INVO0430847, Date: 07-Mar-18, Total Amount: 43.51, Vendor: Phillips, Thomas and Malone"
Template6_Instance107.jpg,"Invoice No: 2246-546, Date: 13-Jul-14, Total Amount: 327.27, Vendor: Phillips, Thomas and Malone"
Template6_Instance12.jpg,"Invoice No: INV52715783, Date: 21-Sep-99, Total Amount: 511.29, Vendor: Phillips, Thomas and Malone"
Template6_Instance108.jpg,"Invoice No: 1298-681, Date: 30-Aug-04, Total Amount: 722.96, Vendor: Phillips, Thomas and Malone"
Template6_Instance106.jpg,"Invoice No: 6509-314, Date: 13-Nov-95, Total Amount: 1370.25, Vendor: Phillips, Thomas and Malone"
Template6_Instance109.jpg,"Invoice No: 3674-324, Date: 12-Jul-08, Total Amount: 1179.18, Vendor: Phillips, Thomas and Malone"
Template6_Instance117.jpg,"Invoice No: 2Y1M6d-761, Date: 03-Sep-08, Total Amount: 72, Vendor: Phillips, Thomas and Malone"
Template6_Instance113.jpg,"Invoice No: INV64012601, Date: 12-Mar-21, Total Amount: 22.88, Vendor: Phillips, Thomas and Malone"
